Subject,sex,mstatus,age,occupation,educyrs,distwork,workyrs,annualinc,famsize,ressize
328,1,1,34,2,16,25,7,36,1,15
335,1,2,27,2,13,15,5,19,3,18
341,1,2,38,2,12,25,16,31,5,29
342,1,2,37,2,16,8,11,52,4,33
343,1,1,22,2,16,22,1,18,1,7
350,2,3,28,2,16,18,3,24,3,18
353,1,2,26,2,16,28,3,27,4,19
356,1,2,33,2,16,7,5,41,4,37
359,1,2,45,2,16,30,15,45,2,34
360,1,2,39,2,12,6,12,30,3,30
365,1,2,40,2,13,7,12,18,5,20
367,2,3,29,2,16,20,5,14,1,5
374,2,3,32,2,16,15,3,22,2,14
377,2,1,28,2,18,8,4,20,1,7
385,2,1,31,2,12,25,4,23,1,8
394,1,2,22,2,14,24,10,22,3,20
398,1,2,26,2,16,14,11,45,4,38
405,1,2,40,2,12,9,20,39,3,31
406,1,2,39,2,16,7,18,28,2,29
415,1,2,29,2,18,13,5,43,5,39
417,1,3,24,2,15,33,2,18,1,6
421,1,1,25,2,16,33,3,24,1,18
422,1,2,28,2,18,24,1,32,2,26
430,1,3,41,2,16,35,20,52,1,20
431,1,2,46,2,12,22,16,29,3,21
440,1,2,36,2,12,8,7,28,4,28
445,1,2,48,2,12,16,19,22,4,20
449,1,2,37,2,16,33,9,28,4,28
457,1,2,26,2,16,28,1,26,4,21
458,1,2,22,2,16,35,1,18,2,5
465,1,1,39,2,12,21,9,21,1,7
466,1,2,44,2,16,28,14,34,3,23
474,1,2,29,2,16,8,4,42,4,21
476,2,1,38,2,18,8,13,20,1,5
477,1,2,36,2,18,13,2,36,4,16
483,1,1,42,2,12,10,17,18,1,6
493,1,1,22,2,16,25,1,20,1,7
496,1,1,27,2,18,12,3,25,1,8
501,1,2,38,2,16,34,15,32,5,30
503,1,2,33,2,16,17,11,50,4,37
504,1,2,23,2,16,34,1,23,2,19
507,1,2,30,2,16,9,4,44,2,30
511,1,1,40,2,16,15,17,30,1,8
512,2,1,46,2,18,15,10,24,1,11
513,2,1,37,2,16,5,7,22,1,5
518,1,2,44,2,12,17,20,22,3,20
519,1,2,41,2,14,35,20,23,4,19
520,1,2,37,2,12,8,12,27,4,26
522,1,3,32,2,16,21,6,44,1,9
526,1,1,25,2,16,15,2,26,1,20
528,1,2,28,2,16,34,2,34,4,31
529,1,2,32,2,12,18,8,30,3,16
533,1,2,35,2,12,34,14,27,4,16
536,1,2,23,2,14,5,2,16,3,18
537,1,2,42,2,16,24,16,49,4,32
539,1,2,34,2,16,31,6,48,5,38
548,1,1,24,2,13,23,2,15,1,7
553,1,2,39,2,12,12,13,12,5,18
555,1,3,33,2,13,8,1,25,1,15
559,2,1,28,2,16,18,5,21,1,5
561,2,3,48,2,18,22,15,24,4,20
564,1,2,29,2,16,26,6,45,5,38
571,1,2,42,2,16,18,14,25,3,20
573,1,2,34,2,12,5,10,28,5,29
574,1,2,24,2,16,33,3,20,3,16
579,2,3,32,2,16,6,5,21,1,5
583,1,2,36,2,16,27,9,35,5,38
590,1,2,23,2,12,30,4,16,3,17
594,1,1,22,2,16,35,1,19,1,7
596,1,2,22,2,12,8,3,18,2,12
600,1,2,31,2,16,31,6,41,4,39
604,1,2,38,2,16,12,13,40,5,34
605,2,3,43,2,16,17,16,19,3,14
607,1,1,39,2,16,23,14,37,1,9
616,1,2,36,2,16,11,5,38,5,27
622,1,2,40,2,14,35,12,38,3,22
624,1,2,37,2,16,10,10,45,5,38
626,1,2,32,2,12,19,9,27,3,17
634,1,2,28,2,12,17,5,21,4,17
637,1,2,35,2,16,20,9,40,2,10
640,1,2,44,2,16,29,21,32,4,24
647,1,2,27,2,16,31,1,25,5,20
652,2,1,45,2,17,11,12,22,1,8
656,1,2,43,2,16,8,19,31,3,32
657,1,2,39,2,16,21,12,33,4,33
667,2,1,39,2,18,16,8,25,1,12
668,1,3,24,2,15,19,2,19,1,7
674,1,3,35,2,12,29,2,20,1,9
678,1,2,41,2,14,31,16,21,3,16
688,2,1,31,2,16,7,5,18,1,5
689,1,2,40,2,16,17,17,38,2,18
699,1,2,31,2,16,11,3,38,4,37
702,1,1,22,2,13,9,2,20,1,5
708,1,2,46,2,16,17,17,28,3,20
709,1,2,39,2,16,14,18,30,4,20
712,1,1,50,2,12,11,23,23,2,19
714,1,2,34,2,16,26,1,47,4,39
718,1,2,33,2,15,31,2,40,3,38
725,1,3,49,2,12,25,19,27,1,21
727,1,2,40,2,16,15,14,31,4,24
728,1,3,44,2,12,10,24,25,1,20
733,1,2,25,2,16,24,2,26,3,29
739,2,1,30,2,16,27,3,21,1,5
740,1,2,23,2,16,14,2,23,3,22
744,1,2,46,2,17,27,14,28,3,21
746,1,2,48,2,16,16,19,32,3,20
747,1,1,45,2,16,27,16,26,1,5
750,1,2,36,2,16,18,7,32,3,18
754,2,1,29,2,16,8,6,20,1,5
759,1,2,52,2,16,24,22,52,3,36
771,1,2,24,2,17,6,2,17,2,16
772,1,1,26,2,15,7,3,21,1,7
773,1,1,33,2,16,32,6,38,1,9
775,1,2,52,2,17,14,22,24,3,20
779,2,1,30,2,16,19,6,26,1,10
783,1,2,55,2,16,34,30,34,3,31
790,1,2,27,2,12,22,7,22,5,19
795,1,2,47,2,16,33,18,21,3,20
803,2,1,44,2,18,23,10,25,1,5
807,1,2,28,2,16,10,30,31,4,29
811,1,2,49,2,12,16,14,24,4,21
815,1,2,38,2,16,11,14,30,4,30
816,1,2,51,2,16,35,20,35,3,33
817,1,2,39,2,16,28,16,41,4,36
819,1,1,47,2,12,33,20,20,1,19
821,2,3,35,2,16,5,4,19,2,12
829,1,2,54,2,12,35,24,29,3,20
830,1,2,40,2,16,28,16,31,4,21
836,1,3,37,2,16,12,13,39,1,14
837,2,3,30,2,16,20,6,23,2,15
844,1,1,49,2,16,26,16,43,2,26
845,1,2,50,2,12,5,14,27,3,19
849,1,2,57,2,14,25,30,23,3,20
851,1,2,59,2,16,10,21,28,2,22
852,1,3,60,2,12,15,30,21,2,20
856,1,2,36,2,12,25,11,22,1,10
857,1,2,24,2,16,29,2,22,4,19
861,2,1,33,2,17,7,8,21,1,12
865,1,3,56,2,12,35,14,24,2,23
866,1,2,53,2,16,29,14,29,4,23
870,1,2,47,2,16,25,20,43,3,38
871,1,2,37,2,12,7,17,28,5,27
872,2,3,34,2,16,6,5,27,2,26
873,1,2,26,2,12,19,5,24,5,17
875,1,1,25,2,15,20,3,19,1,5
879,1,2,49,2,12,18,14,31,3,24
881,1,2,50,2,16,26,22,38,4,36
882,1,2,38,2,16,13,12,32,4,30
884,1,2,47,2,16,25,19,33,3,32
887,1,2,57,2,12,9,21,21,2,20
890,1,1,55,2,16,10,22,34,1,23
892,1,1,58,2,12,11,31,21,1,20
894,1,3,59,2,16,29,20,42,2,24
895,1,2,52,2,16,14,16,37,3,32
896,2,3,36,2,16,12,3,21,4,27
899,2,3,38,2,16,13,8,24,4,30
901,1,2,40,2,12,7,16,24,4,24
902,1,2,48,2,16,25,14,41,4,37
906,1,3,39,2,15,12,12,25,5,23
908,1,2,37,2,16,33,14,40,4,39
911,2,3,34,2,18,10,8,28,3,28
912,1,3,28,2,16,33,6,34,1,15
915,1,2,54,2,12,11,21,29,3,19
918,1,3,48,2,12,8,22,27,1,23
919,1,2,56,2,16,17,14,35,2,25
924,1,2,58,2,16,28,33,30,2,21
925,1,3,40,2,16,12,10,35,1,20
931,1,2,40,2,16,34,11,41,4,34
934,1,2,43,2,16,13,14,34,4,25
936,1,2,37,2,12,8,15,26,5,18
937,2,3,42,2,12,15,14,25,2,24
940,1,2,39,2,16,23,16,35,4,37
941,1,3,52,2,16,24,12,26,3,19
944,1,3,27,2,12,19,3,31,1,10
948,1,3,49,2,14,16,17,40,1,19
949,1,2,54,2,16,17,12,45,3,24
950,2,3,33,2,16,19,4,27,3,21
954,1,2,48,2,12,22,22,37,4,21
957,1,2,40,2,16,35,14,35,4,33
959,1,2,58,2,18,24,30,26,2,20
963,1,2,43,2,12,33,13,25,4,20
964,1,2,45,2,16,7,17,35,3,32
972,1,3,44,2,14,12,14,26,4,20
973,2,2,36,2,16,11,5,24,2,30
974,1,2,42,2,12,11,14,25,3,19
976,1,2,59,2,14,16,16,27,2,20
982,1,1,48,2,16,22,19,37,1,25
983,1,2,49,2,12,28,20,28,3,20
984,2,3,40,2,16,20,14,22,2,18
991,1,2,53,2,16,7,20,29,3,21
994,1,2,52,2,12,20,24,21,3,20
996,1,2,51,2,14,5,20,20,3,19
6,1,2,57,3,16,30,21,44,2,36
9,1,1,18,3,12,17,1,12,1,6
10,1,2,49,3,14,24,24,37,3,32
17,1,2,52,3,12,17,21,30,3,30
22,1,2,55,3,12,5,30,27,2,20
26,1,3,43,3,12,34,24,24,1,26
27,2,1,21,3,12,13,2,10,1,5
32,1,2,47,3,16,29,18,41,4,34
40,1,2,54,3,16,5,13,37,3,34
50,1,2,58,3,15,33,20,31,2,33
52,1,2,29,3,16,32,2,34,5,30
56,1,2,55,3,16,27,15,41,2,34
57,2,3,35,3,13,19,10,12,2,9
64,1,2,60,3,14,8,20,27,2,28
65,1,3,21,3,12,16,1,12,1,5
73,1,2,50,3,12,34,22,27,4,23
80,1,2,42,3,16,28,19,41,3,38
81,1,2,42,3,16,9,14,38,4,37
89,2,1,35,3,14,28,12,10,1,5
91,1,1,18,3,12,20,1,10,1,6
94,1,2,58,3,16,35,16,37,2,39
102,1,2,56,3,16,20,20,42,2,38
103,1,2,51,3,12,9,21,31,3,23
114,2,1,37,3,14,26,10,14,1,8
117,1,2,57,3,16,9,20,38,2,34
123,1,2,52,3,14,30,22,27,4,24
134,1,2,42,3,16,12,14,40,3,34
135,1,2,60,3,12,32,27,30,2,30
137,1,2,18,3,12,26,1,12,3,6
140,1,1,30,3,12,14,8,34,3,27
142,1,1,38,3,12,5,10,38,3,35
145,2,2,47,3,14,15,20,16,2,23
146,1,2,54,3,16,9,21,41,3,35
148,1,1,57,3,12,34,24,27,1,31
149,1,1,18,3,12,21,1,14,1,5
157,1,2,29,3,15,28,1,37,6,18
